fname,fold,exist_labels
1.2.276.0.7230010.3.1.4.8323329.13337.1517875244.699840.png,3,0
1.2.276.0.7230010.3.1.4.8323329.13353.1517875244.792721.png,1,1
1.2.276.0.7230010.3.1.4.8323329.13355.1517875244.795678.png,3,0
1.2.276.0.7230010.3.1.4.8323329.13357.1517875244.811168.png,0,0
1.2.276.0.7230010.3.1.4.8323329.13414.1517875245.204513.png,3,0
1.2.276.0.7230010.3.1.4.8323329.13439.1517875245.328664.png,1,1
1.2.276.0.7230010.3.1.4.8323329.13480.1517875245.508760.png,2,0
1.2.276.0.7230010.3.1.4.8323329.13489.1517875245.560399.png,2,0
1.2.276.0.7230010.3.1.4.8323329.13513.1517875246.27434.png,0,1
1.2.276.0.7230010.3.1.4.8323329.13529.1517875246.484933.png,2,0
1.2.276.0.7230010.3.1.4.8323329.13536.1517875246.512961.png,4,0
1.2.276.0.7230010.3.1.4.8323329.13591.1517875246.778672.png,1,0
1.2.276.0.7230010.3.1.4.8323329.13668.1517875247.129857.png,2,1
1.2.276.0.7230010.3.1.4.8323329.1370.1517875167.425534.png,1,0
1.2.276.0.7230010.3.1.4.8323329.13714.1517875247.346992.png,1,0
1.2.276.0.7230010.3.1.4.8323329.13746.1517875247.710633.png,3,0
1.2.276.0.7230010.3.1.4.8323329.13806.1517875248.36205.png,1,0
1.2.276.0.7230010.3.1.4.8323329.1384.1517875167.488837.png,1,0
1.2.276.0.7230010.3.1.4.8323329.13855.1517875248.325026.png,1,0
1.2.276.0.7230010.3.1.4.8323329.13969.1517875248.904560.png,1,0
1.2.276.0.7230010.3.1.4.8323329.13973.1517875248.915970.png,2,0
1.2.276.0.7230010.3.1.4.8323329.1405.1517875167.586281.png,3,0
1.2.276.0.7230010.3.1.4.8323329.14276.1517875250.535237.png,4,0
1.2.276.0.7230010.3.1.4.8323329.14503.1517875252.422268.png,3,0
1.2.276.0.7230010.3.1.4.8323329.14524.1517875252.533817.png,0,0
1.2.276.0.7230010.3.1.4.8323329.14546.1517875252.633721.png,0,0
1.2.276.0.7230010.3.1.4.8323329.14605.1517875253.25162.png,3,1
1.2.276.0.7230010.3.1.4.8323329.1540.1517875168.296187.png,3,0
1.2.276.0.7230010.3.1.4.8323329.1609.1517875168.574978.png,1,0
1.2.276.0.7230010.3.1.4.8323329.1667.1517875168.835418.png,2,1
1.2.276.0.7230010.3.1.4.8323329.1713.1517875169.64948.png,0,1
1.2.276.0.7230010.3.1.4.8323329.1740.1517875169.196588.png,2,0
1.2.276.0.7230010.3.1.4.8323329.1818.1517875169.722752.png,4,0
1.2.276.0.7230010.3.1.4.8323329.1821.1517875169.736963.png,1,1
1.2.276.0.7230010.3.1.4.8323329.1823.1517875169.745071.png,4,1
1.2.276.0.7230010.3.1.4.8323329.1829.1517875169.791045.png,4,0
1.2.276.0.7230010.3.1.4.8323329.1837.1517875169.851397.png,2,0
1.2.276.0.7230010.3.1.4.8323329.1866.1517875169.969507.png,4,0
1.2.276.0.7230010.3.1.4.8323329.1887.1517875170.118095.png,4,0
1.2.276.0.7230010.3.1.4.8323329.1919.1517875170.233889.png,1,0
1.2.276.0.7230010.3.1.4.8323329.1996.1517875170.620569.png,1,0
1.2.276.0.7230010.3.1.4.8323329.2013.1517875170.692242.png,2,0
1.2.276.0.7230010.3.1.4.8323329.2041.1517875170.848284.png,4,0
1.2.276.0.7230010.3.1.4.8323329.2047.1517875170.862819.png,4,0
1.2.276.0.7230010.3.1.4.8323329.2182.1517875171.532604.png,2,0
1.2.276.0.7230010.3.1.4.8323329.2200.1517875171.609162.png,3,0
1.2.276.0.7230010.3.1.4.8323329.2229.1517875171.736202.png,4,1
1.2.276.0.7230010.3.1.4.8323329.2336.1517875172.243921.png,4,0
1.2.276.0.7230010.3.1.4.8323329.2351.1517875172.310296.png,0,0
1.2.276.0.7230010.3.1.4.8323329.2385.1517875172.478313.png,0,1
1.2.276.0.7230010.3.1.4.8323329.2421.1517875172.635738.png,4,1
1.2.276.0.7230010.3.1.4.8323329.2437.1517875172.726797.png,3,0
1.2.276.0.7230010.3.1.4.8323329.2459.1517875172.853488.png,2,1
1.2.276.0.7230010.3.1.4.8323329.2516.1517875173.123770.png,1,0
1.2.276.0.7230010.3.1.4.8323329.2542.1517875173.291111.png,2,1
1.2.276.0.7230010.3.1.4.8323329.2568.1517875173.455483.png,3,0
1.2.276.0.7230010.3.1.4.8323329.2602.1517875173.666426.png,4,0
1.2.276.0.7230010.3.1.4.8323329.2695.1517875174.90064.png,3,0
1.2.276.0.7230010.3.1.4.8323329.2758.1517875174.568384.png,2,0
1.2.276.0.7230010.3.1.4.8323329.2760.1517875174.575284.png,4,0
1.2.276.0.7230010.3.1.4.8323329.2784.1517875174.687339.png,3,0
1.2.276.0.7230010.3.1.4.8323329.2797.1517875174.778363.png,1,1
1.2.276.0.7230010.3.1.4.8323329.2877.1517875175.180317.png,4,1
1.2.276.0.7230010.3.1.4.8323329.3079.1517875175.957058.png,2,0
1.2.276.0.7230010.3.1.4.8323329.314.1517875162.344457.png,0,0
1.2.276.0.7230010.3.1.4.8323329.31668.1517875156.221571.png,4,0
1.2.276.0.7230010.3.1.4.8323329.31691.1517875156.352314.png,0,1
1.2.276.0.7230010.3.1.4.8323329.31763.1517875156.711531.png,1,1
1.2.276.0.7230010.3.1.4.8323329.3177.1517875176.445287.png,2,1
1.2.276.0.7230010.3.1.4.8323329.31780.1517875156.797287.png,2,0
1.2.276.0.7230010.3.1.4.8323329.31923.1517875157.513633.png,0,0
1.2.276.0.7230010.3.1.4.8323329.31927.1517875157.524439.png,4,0
1.2.276.0.7230010.3.1.4.8323329.31941.1517875157.590337.png,1,1
1.2.276.0.7230010.3.1.4.8323329.31981.1517875157.828282.png,1,0
1.2.276.0.7230010.3.1.4.8323329.32064.1517875158.253864.png,2,0
1.2.276.0.7230010.3.1.4.8323329.32073.1517875158.288169.png,1,0
1.2.276.0.7230010.3.1.4.8323329.3209.1517875176.611814.png,0,1
1.2.276.0.7230010.3.1.4.8323329.32145.1517875158.667121.png,0,0
1.2.276.0.7230010.3.1.4.8323329.32166.1517875158.811313.png,0,0
1.2.276.0.7230010.3.1.4.8323329.32197.1517875158.978910.png,0,1
1.2.276.0.7230010.3.1.4.8323329.32202.1517875158.997576.png,3,0
1.2.276.0.7230010.3.1.4.8323329.32210.1517875159.35792.png,3,0
1.2.276.0.7230010.3.1.4.8323329.3222.1517875176.695778.png,1,0
1.2.276.0.7230010.3.1.4.8323329.3233.1517875176.774043.png,4,0
1.2.276.0.7230010.3.1.4.8323329.32428.1517875160.544374.png,0,0
1.2.276.0.7230010.3.1.4.8323329.3247.1517875176.887708.png,3,0
1.2.276.0.7230010.3.1.4.8323329.32594.1517875161.399382.png,4,0
1.2.276.0.7230010.3.1.4.8323329.3260.1517875176.938735.png,0,0
1.2.276.0.7230010.3.1.4.8323329.32609.1517875161.460309.png,0,1
1.2.276.0.7230010.3.1.4.8323329.3444.1517875177.871518.png,3,1
1.2.276.0.7230010.3.1.4.8323329.3463.1517875177.949983.png,0,0
1.2.276.0.7230010.3.1.4.8323329.3504.1517875178.134059.png,1,1
1.2.276.0.7230010.3.1.4.8323329.3530.1517875178.249137.png,4,0
1.2.276.0.7230010.3.1.4.8323329.3589.1517875178.587324.png,0,0
1.2.276.0.7230010.3.1.4.8323329.3626.1517875178.720627.png,3,1
1.2.276.0.7230010.3.1.4.8323329.3669.1517875178.928629.png,1,0
1.2.276.0.7230010.3.1.4.8323329.3709.1517875179.104083.png,0,0
1.2.276.0.7230010.3.1.4.8323329.3765.1517875179.328110.png,4,1
1.2.276.0.7230010.3.1.4.8323329.3997.1517875180.565105.png,0,0
1.2.276.0.7230010.3.1.4.8323329.4002.1517875180.585064.png,2,0
1.2.276.0.7230010.3.1.4.8323329.4004.1517875180.609434.png,3,1
1.2.276.0.7230010.3.1.4.8323329.404.1517875162.798158.png,0,0
1.2.276.0.7230010.3.1.4.8323329.4044.1517875180.836603.png,4,1
1.2.276.0.7230010.3.1.4.8323329.4047.1517875180.855708.png,0,0
1.2.276.0.7230010.3.1.4.8323329.4057.1517875180.892634.png,1,0
1.2.276.0.7230010.3.1.4.8323329.4102.1517875181.126517.png,4,0
1.2.276.0.7230010.3.1.4.8323329.4125.1517875181.238913.png,0,0
1.2.276.0.7230010.3.1.4.8323329.4172.1517875181.498459.png,1,0
1.2.276.0.7230010.3.1.4.8323329.4242.1517875181.862335.png,0,1
1.2.276.0.7230010.3.1.4.8323329.4260.1517875181.1486.png,0,0
1.2.276.0.7230010.3.1.4.8323329.4282.1517875182.110313.png,0,0
1.2.276.0.7230010.3.1.4.8323329.4328.1517875182.311839.png,3,0
1.2.276.0.7230010.3.1.4.8323329.4480.1517875183.82944.png,2,0
1.2.276.0.7230010.3.1.4.8323329.4495.1517875183.143425.png,1,0
1.2.276.0.7230010.3.1.4.8323329.4551.1517875183.407216.png,2,1
1.2.276.0.7230010.3.1.4.8323329.4592.1517875183.647873.png,4,0
1.2.276.0.7230010.3.1.4.8323329.4624.1517875183.795379.png,1,0
1.2.276.0.7230010.3.1.4.8323329.463.1517875163.62182.png,2,0
1.2.276.0.7230010.3.1.4.8323329.4653.1517875183.2034.png,3,1
1.2.276.0.7230010.3.1.4.8323329.4698.1517875184.188970.png,4,1
1.2.276.0.7230010.3.1.4.8323329.4753.1517875184.611783.png,2,0
1.2.276.0.7230010.3.1.4.8323329.4761.1517875184.628718.png,4,0
1.2.276.0.7230010.3.1.4.8323329.4829.1517875185.28029.png,1,0
1.2.276.0.7230010.3.1.4.8323329.4913.1517875185.426119.png,4,0
1.2.276.0.7230010.3.1.4.8323329.496.1517875163.190846.png,1,0
1.2.276.0.7230010.3.1.4.8323329.5001.1517875185.915949.png,4,0
1.2.276.0.7230010.3.1.4.8323329.5011.1517875185.953072.png,0,0
1.2.276.0.7230010.3.1.4.8323329.5021.1517875185.984901.png,4,0
1.2.276.0.7230010.3.1.4.8323329.5046.1517875186.110965.png,4,0
1.2.276.0.7230010.3.1.4.8323329.5063.1517875186.239615.png,0,0
1.2.276.0.7230010.3.1.4.8323329.5081.1517875186.321334.png,4,0
1.2.276.0.7230010.3.1.4.8323329.5099.1517875186.402137.png,3,0
1.2.276.0.7230010.3.1.4.8323329.5138.1517875186.592738.png,1,0
1.2.276.0.7230010.3.1.4.8323329.5271.1517875187.295454.png,2,0
1.2.276.0.7230010.3.1.4.8323329.5287.1517875187.393932.png,1,1
1.2.276.0.7230010.3.1.4.8323329.5363.1517875187.775417.png,3,0
1.2.276.0.7230010.3.1.4.8323329.5542.1517875188.726090.png,2,0
1.2.276.0.7230010.3.1.4.8323329.556.1517875163.421242.png,3,1
1.2.276.0.7230010.3.1.4.8323329.5622.1517875189.161384.png,3,0
1.2.276.0.7230010.3.1.4.8323329.5634.1517875189.213070.png,1,0
1.2.276.0.7230010.3.1.4.8323329.5646.1517875189.284218.png,4,1
1.2.276.0.7230010.3.1.4.8323329.5651.1517875189.308283.png,4,1
1.2.276.0.7230010.3.1.4.8323329.5725.1517875189.774399.png,1,0
1.2.276.0.7230010.3.1.4.8323329.574.1517875163.503792.png,2,1
1.2.276.0.7230010.3.1.4.8323329.5749.1517875190.142037.png,0,1
1.2.276.0.7230010.3.1.4.8323329.578.1517875163.522743.png,4,1
1.2.276.0.7230010.3.1.4.8323329.5785.1517875190.570716.png,3,0
